streetAddress,suburb,postcode,bedrooms,price
5/37 Elmhurst Road,Bayswater North,3153,2,"$485,000 "
216 King Street,Bendigo,3550,3,"$482,000 "
36 Dublin Drive,Grovedale,3216,3,"$480,000 "
5 Kent Place,Strathfieldsaye,3551,4,"$472,000 "
9 Nhill Court,Dallas,3047,3,"$466,000 "
1 St Leger Place,Epping,3076,3,"$455,000 "
15 Hemlock Court,Baranduda,3691,4,"$447,500 "
329 Normanby Street,Warragul,3820,3,"$410,000 "
5 Caleb Close,Golden Square,3555,3,"$410,000 "
120 Crossen Street,Echuca,3564,4,"$401,000 "
82 Bacchus Marsh Road,Corio,3214,3,"$398,000 "
6/143 Ahern Road,Pakenham,3810,3,"$390,000 "
4 Victory Avenue,Alfredton,3350,3,"$380,000 "
6 Arbor Place,White Hills,3550,3,"$380,000 "
40 Edgevale Way,Tarneit,3029,2,"$380,000 "
2/11 Corang Avenue,Grovedale,3216,2,"$379,000 "
103/1 High Street,Preston,3072,1,"$350,000 "
4 Alouette Court,Whittington,3219,3,"$350,000 "
6/16 Wallace Street,Brunswick West,3055,1,"$330,000 "
9 Nader Close,Redan,3350,2,"$305,000 "
5/55-57 Barries Road,Melton,3337,3,"$290,000 "
2/18 Breakwater Road,Thomson,3219,2,"$275,000 "
34 Hill Street,Daylesford,3460,4,"$790,000 "
54 SHEARWATER Drive,Pakenham,3810,3,"$460,000 "
11 Decker Street,Blackwood,3458,2,"$376,000 "
2 Maggie Street,Yarraville,3013,3,"$1,530,000 "
1/15 Sussex Street,Brighton,3186,3,Contact agent
11 Palm Court,Frankston,3199,3,"$1,400,000 "
9/113-115 Banksia Street,Eaglemont,3084,3,"$1,265,000 "
5 Tyrone Court,Wheelers Hill,3150,4,"$1,235,000 "
15 Orchid Court,Gowanbrae,3043,4,"$1,067,500 "
43 Burn Nar Look Drive,Burwood,3125,4,"$900,000 "
28 Corio Street,Belmont,3216,4,"$780,000 "
36 Sunnyvale Crescent,Keysborough,3173,3,"$678,000 "
6 Allessi Avenue,Wollert,3750,4,"$632,500 "
6 Shoubra Court,Highton,3216,4,"$630,000 "
2 Marcella Ave,Dandenong North,3175,3,"$605,000 "
38/352 Canterbury Road,St Kilda,3182,2,"$603,500 "
22 Frognal Drive,Noble Park North,3174,3,"$600,000 "
3 Gunther Way,Wollert,3750,4,"$575,000 "
1 Mackey Street,Lalor,3075,2,"$550,000 "
7 Weeroona Avenue,Hamlyn Heights,3215,3,"$540,000 "
20 Sixth Avenue,Rosebud,3939,3,"$530,000 "
1/35 Finchley Avenue,Glenroy,3046,3,"$500,600 "
210/87-89 Raleigh Street,Essendon,3040,2,"$487,000 "
12/17-21 Cobaw Circuit,Caroline Springs,3023,3,"$460,000 "
1/39 Junction Street,Newington,3350,2,"$445,000 "
22 Macarthur Way,Mickleham,3064,3,"$430,000 "
8 Govett  Street,Broadford,3658,3,"$400,000 "
2 Ware Street,Lara,3212,4,"$386,000 "
22 & 22A Herriot Street,Heathcote,3523,3,"$330,000 "
38 Yallourn Street,Ardeer,3022,3,"$1,453,000 "
236 Latrobe Terrace,Geelong West,3218,4,"$1,200,000 "
56 Patons Road,Macclesfield,3782,4,"$1,100,000 "
13 Empire Drive,Mooroolbark,3138,4,"$1,055,000 "
82 Pilgrim Street,Seddon,3011,3,"$1,000,000 "
9 Cowies Road,Drysdale,3222,5,"$900,000 "
47 Bendigo Street,Richmond,3121,2,"$873,000 "
10 Devira Court,Rowville,3178,4,"$865,000 "
23-25 Olney Street,Winchelsea,3241,4,"$850,000 "
35 Tutegong Road,Winchelsea,3241,4,"$810,000 "
4/70 Essex Road,Surrey Hills,3127,2,"$805,000 "
1/26 Kororoit Creek Road,Williamstown,3016,3,"$800,000 "
18 Beaurepaire Drive,Point Cook,3030,4,"$765,000 "
17 Banjo Paterson Drive,Pakenham,3810,5,"$750,000 "
14 Carrington Place,Berwick,3806,4,"$750,000 "
7 Iris Court,Mooroolbark,3138,4,"$720,000 "
3 The Nook,Ferntree Gully,3156,3,"$710,000 "
26 Erskine Ridge,Mooroolbark,3138,3,"$697,000 "
70 Blackmore Road,Woodend,3442,3,"$693,000 "
16A Starcross Avenue,Croydon,3136,3,"$680,000 "
140 Mollison Street,Malmsbury,3446,3,"$671,000 "
55 Symonds Street,Yarra Glen,3775,3,"$670,000 "
17 Hawkesbury Street,Berwick,3806,4,"$670,000 "
23 Grierson Drive,Kilsyth,3137,3,"$650,000 "
9 Meadow Court,Strathfieldsaye,3551,4,"$630,000 "
1 Colonial Court,Roxburgh Park,3064,4,"$625,000 "
89 Harmony Drive,Tarneit,3029,4,"$617,000 "
97 Fountain Drive,Narre Warren,3805,3,"$605,000 "
15 Matthew Flinders Avenue,Endeavour Hills,3802,3,"$600,000 "
11 Dustin Court,Sydenham,3037,3,"$600,000 "
323 Wild Cherry Road,Lockwood South,3551,4,"$585,000 "
47 Reigate Road,Highton,3216,3,"$560,000 "
12 Blackwood Place,Rosebud,3939,3,"$540,000 "
16 Saltbreeze Boulevard,Armstrong Creek,3217,4,"$540,000 "
17 Yellow Avenue,Lara,3212,4,"$530,000 "
5 Beachside Crescent,Point Cook,3030,4,"$528,500 "
70 Kirby Street,Reservoir,3073,3,"$525,000 "
27 Bladen Street,Warragul,3820,4,"$524,000 "
2/56 Hewish Road,Croydon,3136,2,"$522,000 "
18 Fleuve Rise,Clyde North,3978,3,"$522,000 "
1/11 Coogee Avenue,Frankston,3199,3,"$520,000 "
28 Dennison Avenue,Hoppers Crossing,3029,3,"$515,000 "
4 The Esperence,Lara,3212,3,"$510,000 "
15 Sandor Terrace,Charlemont,3217,4,"$496,500 "
2 Pearson Place,Melton South,3338,4,"$495,000 "
7 Swift Court,Carrum Downs,3201,3,"$482,000 "
2/69 Curlew Drive,Capel Sound,3940,3,"$470,000 "
10 Winchester Court,Corio,3214,3,"$430,000 "
15 Fadden Mews,Officer,3809,3,"$420,000 "
5 Hamersley Road,Craigieburn,3064,0,"$395,000 "
5 A Robin Avenue,Norlane,3214,3,"$385,000 "
15 Beauview Court,Kurunjang,3337,3,"$380,000 "
1/18-20 Ben Drive,Pakenham,3810,2,"$378,000 "
2/71 Somerville Road,Hampton Park,3976,2,"$362,000 "
6 Orbit Drive,Whittington,3219,3,"$350,000 "
14 Halliwell Court,Corio,3214,3,"$327,000 "
67 Settlement Road,Belmont,3216,3,"$323,500 "
5/403 Humffray Street North,Brown Hill,3350,3,"$322,000 "
510 Eyre Street,Ballarat Central,3350,2,"$320,000 "
G123/80G Epping Road,Epping,3076,2,"$320,000 "
20A Hackett Court,Delahey,3037,0,"$305,000 "
22 Garden Crescent,Echuca,3564,4,"$290,000 "
40 Hawdon  Street,Broadford,3658,3,"$290,000 "
1/238 Humffray Street North,Brown Hill,3350,3,"$270,000 "
134 Barkly Street,Portland,3305,3,"$260,000 "
5/269 Eaglehawk Road,Long Gully,3550,2,"$215,000 "
11 Wynnstay Road,Prahran,3181,5,Contact agent
69 Iona St,Black Rock,3193,3,"$1,780,000 "
53 Maude Street,Mount Martha,3934,4,Contact agent
1 Mavista Avenue,Glen Waverley,3150,3,"$1,268,000 "
401/2 Newquay Promenade,Docklands,3008,3,"$1,225,000 "
32 Windsor Avenue,Strathmore,3041,2,"$1,125,000 "
56 Chivalry Avenue,Glen Waverley,3150,4,"$1,101,000 "
175 Hazelwood Road,East Warburton,3799,4,"$1,100,000 "
75 Shaws Road,Little River,3211,4,"$1,100,000 "
115 Capital Avenue,Glen Waverley,3150,4,"$1,065,000 "
68 Market St,Newport,3015,3,"$923,000 "
877 High Street Road,Glen Waverley,3150,3,"$876,000 "
11 Mason Street,Mount Eliza,3930,3,"$865,000 "
4 O'Neill Way,Warranwood,3134,4,"$825,000 "
44 Hidden Grove Boulevard,Keysborough,3173,4,"$802,000 "
15 Ballymore Court,Frankston,3199,4,"$780,000 "
42 Kamanari Court,Drouin,3818,4,"$775,000 "
3 Doidge Street,Bundoora,3083,3,"$745,000 "
34 John Edgcumbe,Endeavour Hills,3802,4,"$725,000 "
93 Wattletree Road,Bunyip,3815,3,"$718,000 "
17 Springwater Drive,Lara,3212,4,"$650,000 "
49 Batman Street,Burnside Heights,3023,4,"$627,500 "
23 Parkwood Avenue,Narre Warren South,3805,4,"$621,500 "
13 PARKERS ROAD,Portland,3305,4,"$615,000 "
86 View Street,Glenroy,3046,2,"$612,000 "
3/22 Pine Crescent,Boronia,3155,2,"$601,000 "
8 Dawkins Avenue,Fraser Rise,3336,4,"$600,000 "
51 Elizabeth Street,Cranbourne North,3977,4,"$580,000 "
22 Moorhen Crescent,Carrum Downs,3201,3,"$570,000 "
18 Morinda Way,Doreen,3754,4,"$561,000 "
3 Oakes Place,Carrum Downs,3201,4,"$560,000 "
17 Melita Avenue,Werribee,3030,3,"$558,000 "
41 Spring Street,Geelong West,3218,2,"$555,000 "
5 Shorthorn Walk,Narre Warren South,3805,3,"$545,000 "
7 Evans Street,Rye,3941,3,"$530,000 "
3-4 Emilija Court,Marshall,3216,3,"$520,000 "
4 Veedale Court,Lara,3212,3,"$520,000 "
12 Berrigan Court,Werribee,3030,3,"$501,500 "
8 Tobruk Street,Warragul,3820,3,"$485,000 "
2/30 Ford Avenue,Sunshine North,3020,3,"$485,000 "
117 Fifth Avenue,Rosebud,3939,3,"$470,000 "
12 Elaine Avenue,Alfredton,3350,4,"$446,200 "
6 Waters Way,St Leonards,3223,3,"$445,000 "
10 Kosta Boda Boulevard,Pakenham,3810,3,"$415,000 "
17 Lawrie Drive,Alfredton,3350,3,"$405,000 "
404/8 Garfield Street,Richmond,3121,1,"$388,000 "
1118 Norman Street,Wendouree,3355,3,"$385,000 "
3/3 Dhemre Place,Dallas,3047,2,"$385,000 "
3/501 Bradshaw Street,Golden Point,3350,3,"$380,000 "
13 Hendy Street,Corio,3214,4,"$365,000 "
1/12 Renlik Court,Pakenham,3810,3,"$360,000 "
2/70 Janefield Drive,Bundoora,3083,1,"$351,000 "
10-12 Morley Crescent,Highton,3216,0,"$345,000 "
1/162 Canadian Bay Road,Mount Eliza,3930,2,"$340,000 "
6 Peacock Avenue,Wodonga,3690,3,"$335,000 "
3B Kinrap Street,Kangaroo Flat,3555,3,"$322,000 "
26 Walls Street,Eaglehawk,3556,3,"$315,000 "
111 Yarrowee Street,Sebastopol,3356,3,"$260,000 "
16 North Street,Echuca,3564,3,"$220,000 "
5601/570 Lygon Street,Carlton,3053,1,"$179,000 "
25 Illawong Drive,Donvale,3111,4,"$2,998,000 "
20 Castaway Court,Patterson Lakes,3197,5,"$1,850,000 "
22 Derby Street,Collingwood,3066,2,Contact agent
194A Bluff Road,Sandringham,3191,4,"$1,350,000 "
51 Webb Street,Warrandyte,3113,4,"$1,235,000 "
219 Marine Drive,Mount Martha,3934,1,"$1,130,000 "
44 Pridham Street,Maribyrnong,3032,3,"$1,115,000 "
13 Marlborough Street,St Kilda East,3183,2,"$1,055,000 "
3 Olivemay Court,Bonshaw,3352,4,"$1,010,000 "
2/119 Hitchcock Avenue,Barwon Heads,3227,3,"$1,000,000 "
2/123 Roberts Street,Essendon,3040,3,"$990,000 "
5 Wyatt Street,Seaford,3198,3,"$939,500 "
5 Broadleaf Court,Keysborough,3173,3,"$930,000 "
100 John Street,Williamstown,3016,2,"$880,000 "
37 Middleton Street,Watsonia North,3087,3,"$860,000 "
1 Ironbark Road,Diamond Creek,3089,4,"$853,000 "
5 Woodcutters Place,Narre Warren South,3805,4,"$852,500 "
6 Campbell Street,Heathmont,3135,3,"$851,500 "
241 Cookes Road,Doreen,3754,4,"$850,000 "
96 Gertrude Street,Geelong West,3218,3,"$830,000 "
25 Rodina Terrace,Dandenong,3175,5,"$823,000 "
55 Windsor Street,Seddon,3011,2,"$815,000 "
26 Monument Boulevard,Cardigan,3352,4,"$795,000 "
5 Cloverdale Lane,Chirnside Park,3116,4,"$775,000 "
31 Buckingham Street,Footscray,3011,2,"$775,000 "
22 Conservation Drive,Tarneit,3029,4,"$770,000 "
18 Princess Street,Bayswater,3153,3,"$768,000 "
2 Bogie Court,Anglesea,3230,3,"$765,000 "
3408/241 City Road,Southbank,3006,3,"$756,000 "
73 Diosma Avenue,Sunshine West,3020,3,"$740,000 "
4 Evans Street,Scoresby,3179,3,"$735,000 "
4/8 Warwick Road,Greensborough,3088,3,"$729,500 "
11 Clissold Street,Lorne,3232,3,"$720,000 "
2/15 Bamba Court,Scoresby,3179,3,"$715,000 "
6 Davison Place,Geelong,3220,2,"$710,000 "
8 Ashcombe Lane,Ocean Grove,3226,4,"$710,000 "
4 Ester Close,Endeavour Hills,3802,5,"$710,000 "
8 Newton Street,Ferntree Gully,3156,3,"$688,500 "
59 Gwinganna Drive,Clifton Springs,3222,4,"$680,000 "
59 Grantham Drive,Highton,3216,4,"$670,000 "
9/47 Kathryn Road,Knoxfield,3180,3,"$665,000 "
7A Allen Street,Ringwood,3134,2,"$660,200 "
14 Mabel Street,Doreen,3754,3,"$650,000 "
50 Dunfermline Avenue,Greenvale,3059,4,"$647,500 "
707/331-333  Ascot Vale,Moonee Ponds,3039,2,"$645,000 "
14 Banjolina Circuit,Craigieburn,3064,4,"$640,000 "
10 Primavera Drive,Mickleham,3064,4,"$617,000 "
15 Darraweit Valley Road,Darraweit Guim,3756,5,"$610,000 "
45 Catherine Street,Geelong West,3218,3,"$602,500 "
9 Woolondoon Drive,Highton,3216,4,"$601,000 "
5 Eastmead Road,Croydon,3136,2,"$600,000 "
78 Gavan Street,Kilmore East,3764,4,"$597,000 "
68 Justin Circuit,Hampton Park,3976,4,"$590,000 "
22 Macadamia Street,Doreen,3754,3,"$580,000 "
14 Young Street,Bacchus Marsh,3340,3,"$580,000 "
4 Jemma Avenue,Point Cook,3030,4,"$566,500 "
502/1 Encounter Way,Docklands,3008,2,"$562,000 "
3 Ballamore Vista,Harkness,3337,4,"$560,000 "
33 Wendy Way,Tarneit,3029,4,"$550,000 "
46 Queensbury Way,Werribee,3030,4,"$550,000 "
11 Trimble Drive,Langwarrin,3910,3,"$533,000 "
48 Ben Drive,Pakenham,3810,3,"$530,000 "
76 Dusseldorp Avenue,Pakenham,3810,4,"$525,000 "
2 Cardiff Street,Bell Post Hill,3215,4,"$525,000 "
7 Norman Grove,Werribee South,3030,4,"$512,500 "
5 Callistemon Crescent,Drouin,3818,3,"$510,000 "
3/5-7 Bonnie View Road,Croydon North,3136,2,"$500,500 "
15 Glitter Road,Diggers Rest,3427,3,"$500,000 "
51 Marshalltown Road,Marshall,3216,3,"$500,000 "
3205/58 Clarke Street,Southbank,3006,2,"$495,000 "
15 The Gums,Mount Clear,3350,4,"$485,000 "
909/108 Flinders Street,Melbourne,3000,1,"$484,000 "
112 Butler Court,Heathcote,3523,3,"$480,000 "
18 Cavell Drive,Craigieburn,3064,3,"$475,000 "
32 Jupiter Crescent,Cranbourne West,3977,3,"$470,000 "
81 Dallas Drive,Dallas,3047,2,"$450,000 "
25 Chestnut Street,Campbellfield,3061,3,"$450,000 "
15 Strachan Place,Melton South,3338,3,"$447,000 "
34 Watergum Way,Wallan,3756,4,"$440,000 "
2/2 La Scala Avenue,Maribyrnong,3032,2,"$440,000 "
2 Elm Road,Golden Point,3350,2,"$440,000 "
503/97-103 Flemington Road,North Melbourne,3051,1,"$431,000 "
3/18 Grayling Street,Belmont,3216,3,"$430,000 "
B204/8 Grosvenor St,Abbotsford,3067,2,"$430,000 "
4 Milla Belle Place,Brookfield,3338,4,"$418,000 "
1200 Mount Terrick Road,Echuca,3564,4,"$399,000 "
2/49 Murphy Street,Romsey,3434,3,"$395,000 "
3/12-30 Pickersgill Avenue,Sunshine West,3020,2,"$376,000 "
"Lot 79, 38 Songlark Crescent",Carrum Downs,3201,0,"$375,000 "
10 Grafton Street,St Albans Park,3219,3,"$375,000 "
3 Carew Court,Mount Pleasant,3350,5,"$370,000 "
14/13 Wood Street,Drouin,3818,2,"$355,000 "
11 Isabel Court,Portland,3305,4,"$352,500 "
7/10 Gordon Street,Spring Gully,3550,3,"$350,000 "
109/2 Archibald Street,Box Hill,3128,1,"$330,000 "
38A Pettitt Crescent,Norlane,3214,2,"$330,000 "
B206/8 Grosvenor Street,Abbotsford,3067,1,"$330,000 "
2A Alder Crescent,Bell Park,3215,2,"$320,000 "
12/9 Kemp Street,Thornbury,3071,1,"$300,000 "
1/7 Jepson Street,Yarraville,3013,1,"$288,500 "
53 Pearce Street,Wodonga,3690,3,"$278,000 "
15 Grant Street,Portland,3305,3,"$235,000 "
109 Must Street,Portland,3305,3,"$220,000 "
45 Brickwood Street,Brighton,3186,4,Contact agent
32 Maling Road,Canterbury,3126,4,"$2,810,000 "
57 Avendon Boulevard,Glen Waverley,3150,4,"$2,200,000 "
3 Highbury Street,Balwyn North,3104,0,"$1,900,000 "
133 Argyle Street,St Kilda,3182,3,"$1,785,000 "
71 Eastgate Street,Pascoe Vale South,3044,3,"$1,400,000 "
4 Oakdale Lane,Sunbury,3429,3,"$1,200,000 "
2/33 Fisher Parade,Ascot Vale,3032,3,"$1,200,000 "
76 Franklin Street,Eltham,3095,4,"$1,045,000 "
16 Sussex Street,Ringwood,3134,3,"$1,000,000 "
63 Stadium Circuit,Mulgrave,3170,3,"$930,000 "
9 Quentin Court,Drouin,3818,4,"$920,000 "
9 Bennett Street,Richmond,3121,2,"$920,000 "
7 Dunstan Street,Frankston South,3199,5,"$903,000 "
7 Paltarra Court,Croydon,3136,4,"$876,000 "
19 Hopbush Avenue,Sunbury,3429,5,"$875,000 "
12A Edith Street,Mordialloc,3195,3,"$850,000 "
2 Chunar Grove,McCrae,3938,4,"$845,000 "
4 Hill Street,Ferny Creek,3786,4,"$830,000 "
9 Kenswick Drive,Hillside,3037,5,"$825,000 "
57 Tyner Road,Wantirna South,3152,3,"$823,333 "
20 Belmont Crescent,Montmorency,3094,3,"$815,000 "
4 Union Street,Williamstown,3016,2,"$798,000 "
31 Heathwood Street,Ringwood East,3135,3,"$792,000 "
1450 Jacksons Track,Jindivick,3818,3,"$774,000 "
11 Boyd Court,Scoresby,3179,4,"$765,000 "
5406/7 Riverside Quay,Southbank,3006,1,"$745,000 "
254 Pink Hill Boulevard,Officer,3809,4,"$710,000 "
77 Fantail Crescent,Williams Landing,3027,4,"$710,000 "
3 Kates  Court,Wandana Heights,3216,4,"$702,000 "
LG03/K6 High Street,Windsor,3181,2,"$701,000 "
8 Redwood Street,Heidelberg West,3081,2,"$700,000 "
83 Bloom Avenue,Wantirna South,3152,3,"$695,000 "
3 Mackenzie Court,Croydon South,3136,4,"$690,000 "
572 Blackswamp Road,Bullarook,3352,4,"$685,500 "
26 Dempster Way,Berwick,3806,5,"$675,000 "
6 Vantage Point Boulevard,Doreen,3754,4,"$659,000 "
23 Fieldwren Drive,Williams Landing,3027,4,"$655,000 "
4 Old Farm Way,Romsey,3434,4,"$652,000 "
16 Kent Street,Warragul,3820,3,"$650,000 "
46 Odessa Avenue,Keilor Downs,3038,4,"$640,000 "
85 Cherylnne Crescent,Kilsyth,3137,3,"$635,000 "
4/3 King Street,Bayswater,3153,3,"$635,000 "
147 Haze Drive,Point Cook,3030,4,"$625,000 "
606/23 Queens Road,Melbourne,3004,2,"$625,000 "
101/462 Hawthorn Road,Caulfield South,3162,2,"$610,000 "
2 Lockton Avenue,Reservoir,3073,3,"$600,000 "
13 Moomba St,Mornington,3931,3,"$590,000 "
9 Mill Street,Franklinford,3461,3,"$590,000 "
35 Kingdom Avenue,Kings Park,3021,3,"$575,000 "
2/14 Mary Street,Hamlyn Heights,3215,3,"$575,000 "
15 Gardense Parade,South Morang,3752,3,"$573,000 "
4/50 Roberts Street,West Footscray,3012,2,"$570,000 "
66 Graf Road,Somerville,3912,4,"$565,000 "
7 Acton Street,Rockbank,3335,4,"$555,000 "
66 Carbon Crescent,Mill Park,3082,3,"$555,000 "
16 Tettenhall Ridge,Belmont,3216,3,"$552,000 "
51 Clarke Avenue,St Albans,3021,3,"$550,000 "
5/177 Power Street,Hawthorn,3122,2,"$540,500 "
33 Cobham Street,St Albans,3021,3,"$535,000 "
25 Maiden Drive,Sunbury,3429,4,"$533,000 "
24 Iolanda Street,Rye,3941,3,"$531,500 "
3/143 Melbourne Avenue,Glenroy,3046,2,"$530,500 "
5 Chloe Court,Rowville,3178,2,"$525,000 "
22 Garside Street,Dandenong,3175,3,"$525,000 "
18  Valiant Walk,Williams Landing,3027,3,"$511,000 "
49A Brights Drive,Tootgarook,3941,3,"$510,000 "
"1,3,4/33A King Edward Avenue",Albion,3020,3,"$500,000 "
2 Jamieson Way,Wallan,3756,4,"$500,000 "
2/44 Eildon Road,St Kilda,3182,2,"$500,000 "
6 Muir Crescent,Newington,3350,3,"$480,000 "
50 First Avenue,Melton South,3338,4,"$468,000 "
72 Damask Drive,Tarneit,3029,3,"$460,000 "
34 Ash Road,Leopold,3224,3,"$455,000 "
6 Macalister  Place,Pakenham,3810,3,"$445,000 "
2 Menzies Street,Wodonga,3690,5,"$433,000 "
3 Comtois Lane,Clyde North,3978,2,"$425,000 "
11 Cumberland Terrace,Strathfieldsaye,3551,4,"$415,000 "
3 Portman Avenue,Harkness,3337,3,"$405,000 "
5 Colonial Court,Alfredton,3350,3,"$387,500 "
2/26 Carolanne Drive,Drysdale,3222,3,"$380,100 "
20 Austin Court,Kangaroo Flat,3555,3,"$365,250 "
101/54 Mernda Village Drive,Mernda,3754,2,"$340,000 "
362 Rodier Street,Ballarat East,3350,3,"$330,000 "
107/201 High St,Prahran,3181,1,"$320,000 "
110 Thomas Street,Brighton East,3187,3,Contact agent
102/90 Epping Road,Epping,3076,1,"$278,000 "
501/50 Barry Street,Carlton,3053,1,"$172,500 "
54 Hughes Street,Malvern East,3145,4,"$1,900,000 "
58 McPherson Street,Essendon,3040,4,"$1,750,000 "
6 Mulga Lane,Waterways,3195,3,"$1,699,000 "
3 Primrose Street,Moonee Ponds,3039,3,"$1,575,000 "
48-50 Arundel Road,Park Orchards,3114,6,"$1,550,000 "
25 Macpherson Street,Carlton North,3054,3,"$1,385,000 "
5/55 Royal Avenue,Sandringham,3191,3,"$1,340,000 "
33A Bowen Road,Doncaster East,3109,4,"$1,308,000 "
49 Lord Street,Richmond,3121,3,"$1,300,000 "
2/633-635 Hampton St,Brighton,3186,3,"$1,200,000 "
432 Balwyn Road,Balwyn North,3104,3,"$1,200,000 "
1/3 Asling Street,Brighton,3186,3,"$1,160,000 "
20 Fairview Drive,Cheltenham,3192,4,"$1,150,000 "
17 Evesham Road,Cheltenham,3192,3,"$1,105,000 "
73 Church Road,Doncaster,3108,3,"$1,100,000 "
3/37A Canterbury Road,Toorak,3142,2,"$1,060,000 "
57 Winchester Street,Moonee Ponds,3039,2,"$1,040,000 "
75 Benkel Avenue,Cheltenham,3192,4,"$1,000,000 "
9A Winsome Street,Mentone,3194,3,"$971,500 "
27 Patricia Loop,Keysborough,3173,4,"$955,000 "
11 Bradfield Court,Taylors Hill,3037,4,"$941,000 "
29 The Fairway,Kingsbury,3083,4,"$940,000 "
15 Bachli Street,Rye,3941,3,"$925,000 "
22 - 24 Kent Road,Rye,3941,2,"$925,000 "
4A Dactyl Road,Moorabbin,3189,3,"$890,000 "
1 Lesa Court,Mount Martha,3934,4,"$875,000 "
77 Clare Boulevard,Greenvale,3059,6,"$851,000 "
74 Peninsula Sands Blvd,Rosebud,3939,4,"$850,000 "
1/5A Bungalook Road East,Bayswater North,3153,3,"$830,000 "
5 Geranium Court,Berwick,3806,4,"$820,000 "
3/148 Nepean Highway,Aspendale,3195,3,"$820,000 "
10 Anton Court,Chelsea Heights,3196,5,"$815,000 "
40 Hillrise Court,Mill Park,3082,4,"$815,000 "
1403/83 Queensbridge Street,Southbank,3006,3,"$807,000 "
137 Marshall Road,Airport West,3042,4,"$800,000 "
34B Barkly Street,Mordialloc,3195,3,"$800,000 "
18 Centreside Drive,Torquay,3228,4,"$770,000 "
5 Hyton Crescent,Croydon,3136,3,"$760,000 "
29 Aurora Crescent,Torquay,3228,2,"$750,000 "
4 Bradford Avenue,Greenvale,3059,4,"$750,000 "
1/41 Winifred Street,Oak Park,3046,3,"$750,000 "
250 Smiths Gully Road,Smiths Gully,3760,3,"$750,000 "
3 Sherman Drive,Bayswater North,3153,4,"$750,000 "
839 Old Calder Highway,Keilor,3036,3,"$745,000 "
55 Sydenham Avenue,Manifold Heights,3218,4,"$730,000 "
64 Carbine Street,Donvale,3111,3,"$725,000 "
50 Goegan Street,Werribee,3030,4,"$720,000 "
31 Tarcoola Drive,Yallambie,3085,3,"$715,000 "
156 Nell Street,Greensborough,3088,3,"$712,500 "
63 Oconnell Street,Geelong West,3218,3,"$711,000 "
23 Burvale Court,Tullamarine,3043,3,"$710,000 "
69 Lenoak Street,Gladstone Park,3043,4,"$710,000 "
71 Dryden Concourse,Mooroolbark,3138,4,"$705,000 "
9 Rosewood Place,Chirnside Park,3116,3,"$701,000 "
39 Dusseldorp Avenue,Pakenham,3810,4,"$700,000 "
29 Glasgow Avenue,Reservoir,3073,3,"$690,000 "
2/61 The Grove,Coburg,3058,2,"$683,000 "
13 Henry Street,Keilor East,3033,3,"$680,000 "
18 Keswick Rise,Sunbury,3429,4,"$675,000 "
4/1543 Point Nepean Road,Capel Sound,3940,3,"$670,300 "
